author,favorite_count,text,in_reply_to_screen_name,created_at,retweet_count,id_str,imagelink
enirgy_info,2,@DUPleader powerful saying but in case some are wondering it's not from the ancient Greek philosopher but from a book by gymnast Dan Millman,DUPleader,Wed Apr 20 13:26:13 +0000 2016,3,722778398481858561,NA
dhothersall,1,"@Ruth_E_Davidson Honestly, put the phone down &amp; get a move on or you'll miss your slot endorsing SNP tax plans at their manifesto launch. ;)",RuthDavidsonMSP,Wed Apr 20 09:12:05 +0000 2016,0,722714443537321984,NA
BorisJohnson,305,Y'day celebrated HM Queen's 90th B'day w a Royal tea dance @Hill_libraries. Lots of street parties planned this w/e https://t.co/VfVdJqkHwd,,Sat Jun 11 11:07:02 +0000 2016,85,741587542303215616,https://pbs.twimg.com/media/Ckql742WgAEc3AF.jpg
David_Cameron,511,The Bank of England is right to warn leaving the EU could cause lower growth and unemployment to rise - that would hurt working people.,,Thu May 12 11:12:18 +0000 2016,312,730717232314126336,NA
George_Osborne,129,Huge thanks to hardworking Conservative councillors and candidates: what an achievement to be winning seats after six years in power,,Fri May 06 08:54:42 +0000 2016,65,728508275562577920,NA
George_Osborne,13,"North West jobs hit of 56,000, Yorkshire and Humber 43,000, South East 74,000, London 73,000 over two years after vote to Leave",,Mon May 23 10:20:45 +0000 2016,11,734690524708392961,NA
peoplesvote_hq,9,"Prime Minister: faced with a complex terrorist threat, now is a time for strength in numbers.",,Mon May 09 07:24:37 +0000 2016,5,729572767180394500,NA
peoplesvote_hq,49,"IMPORTANT: IMF say #Brexit will cause low growth, high prices &amp; will be ""costly in the long run"". Pls RT
https://t.co/J6tQ0GL3Mc",,Fri May 13 12:31:48 +0000 2016,72,731099623289315328,NA
vote_leave,171,The banks that caused the financial crisis in 2008 are funding the In campaign. #BankersLoveBrussels https://t.co/mgMlgHnSf7,,Wed May 11 14:40:57 +0000 2016,330,730407349563838464,https://pbs.twimg.com/tweet_video_thumb/CiLtnTCXIAAv6fp.jpg
SadiqKhan,36,Sun is shining here on the campaign trail with @KarenPBuckMP in Kensington &amp; Chelsea! #TeamKhan https://t.co/dcx2bNlUsy,,Sat Apr 23 12:14:44 +0000 2016,19,723847572725616640,https://pbs.twimg.com/media/CgufgUlXEAAt9qq.jpg
Nigel_Farage,1646,Mr. Juncker confirms this is Britain's last chance saloon. We must vote to Leave EU.,,Wed Jun 22 14:43:40 +0000 2016,1203,745628326392401920,NA
ceefaxisbetter,0,@timfarron This film sounds right up your street: I think you'll be able to identify with it! https://t.co/3f8ihO6Owl,timfarron,Fri May 20 23:02:39 +0000 2016,0,733795099721760768,NA
peoplesvote_hq,39,"You can't trust Leave campaigners on the NHS - they've spent their whole careers trying to cut it:
https://t.co/BMkIVuv6U0",,Fri May 20 16:03:04 +0000 2016,79,733689508281995265,NA
RuthDavidsonMSP,1,@_PKerr they limited tickets to 120. https://t.co/8imfp2hKHW,_PKerr,Thu May 05 08:13:36 +0000 2016,1,728135543347810304,https://pbs.twimg.com/media/ChrbY7eUoAAHWhV.jpg
peoplesvote_hq,2,"Staying in Europe is worth a future 800,000 jobs. Vote remain for more jobs &amp; opportunities #Strongerin https://t.co/JQ5khfiKjw #ITVEURef",,Tue Jun 07 20:38:33 +0000 2016,20,740281815127228417,https://pbs.twimg.com/media/ChsluLOVEAANLKj.jpg
andrealeadsom,2,"""Bubbles with Boris"" on 7 Jul - Fab party at #Royal&amp;Derngate in aid of @HopeCentre and @NORPIP. Book tickets: https://t.co/s5wj2OZB2K",,Sat May 21 21:16:12 +0000 2016,3,734130698777415681,NA
peoplesvote_hq,31,"In just two days, the IMF &amp; Bank of England have both warned of the dire consequences of leaving Europe - please RT. https://t.co/5aPmHsqnGq",,Fri May 13 11:00:18 +0000 2016,120,731076599999807488,https://pbs.twimg.com/media/CiVOQ4WU4AEWePp.jpg
vote_leave,270,5.3 million more people are predicted to move to the UK if we stay in the EU. How will our #NHS cope? #VoteLeave https://t.co/oFtxTwhEIt,,Fri Jun 10 20:16:22 +0000 2016,398,741363396550000640,https://pbs.twimg.com/media/CknaE_vWYAQzd_4.jpg
peoplesvote_hq,34,"The key phrase from tonight - Leave Campaign ""can't guarantee"" people's jobs if we leave Europe #InOrOut #StrongerIN",,Fri Jun 03 19:58:02 +0000 2016,59,738822068779810816,NA
Nigel_Farage,359,"George Osborne, the Chancellor who  has doubled the national debt, is now revealed as an EU fanatic.",,Mon Apr 18 07:43:44 +0000 2016,348,721967432504582144,NA
vote_leave,73,Japan would never surrender sovereignty or control over its borders. It's our choice - and we're going to #TakeControl on 23 June,,Thu May 05 15:19:04 +0000 2016,71,728242614928027648,NA
LeaveEUOfficial,145,0It’s time for non-EU migrants to be treated the same as migrants from the European Union #LeaveEU https://t.co/XKSsWUbSJc,,Sat May 07 18:00:56 +0000 2016,143,729008127111270401,https://pbs.twimg.com/media/Ch31B2NWEAE6V3u.jpg
peoplesvote_hq,2,"Hilary Benn: the EU has given us jobs, investment and growth #StrongerIN #EUref",,Mon Jun 06 18:33:07 +0000 2016,5,739887863374942208,NA
NicolaSturgeon,240,Looking forward to making the progressive &amp; positive case for remaining in the EU with @LeanneWood &amp; @CarolineLucas in London later today.,,Mon May 23 08:48:27 +0000 2016,127,734667296883519488,NA
LeaveEUOfficial,11,@GiselaStuart - We heard this kind of fear-mongering about not joining the single currency #ITVEURef #LeaveEU,GiselaStuart,Thu Jun 09 19:46:04 +0000 2016,14,740993386165993473,NA
vote_leave,209,"WATCH: This is why many Labour voters will #VoteLeave tomorrow #c4debate
https://t.co/s55lt4T8Sn",,Wed Jun 22 21:05:33 +0000 2016,252,745724427409620992,NA
LeaveEUOfficial,95,"Our CEO @lizbilney favours a globally orientated migration policy that doesn't discriminate against non-EU nationals
https://t.co/WQ0djwNBwd",,Tue Jun 21 13:45:31 +0000 2016,87,745251301768855553,NA
peoplesvote_hq,25,"Mark Carney, Governor of the Bank of England is clear: a vote to leave could mean higher mortgage rates. #InOrOut  https://t.co/8DE8d9J8V5",,Thu Jun 02 19:22:44 +0000 2016,32,738450796992471044,https://pbs.twimg.com/media/CjQJeeeWsAAY_2t.jpg
peoplesvote_hq,13,Frmr US Treasury Secs have today written a letter in support of the UK remaining in EU: https://t.co/bAjRQzLsrv https://t.co/4TEM7BVDsg,,Wed Apr 20 13:11:46 +0000 2016,18,722774762309685248,https://pbs.twimg.com/media/CgfP0F3WwAAwpQD.jpg
peoplesvote_hq,30,We can't tackle big issues in isolation - it's just not that simple. Wrecking our economy through #Brexit will NOT tackle immigration #bbcqt,,Sun Jun 19 18:11:23 +0000 2016,25,744593433583575040,NA
David_Cameron,201,There are just 10 days to register to vote for the EU referendum. Just follow the link. Register to vote - GOV.UK  https://t.co/vdRSW8NN4m,,Sun May 29 12:38:33 +0000 2016,195,736899530055127041,NA
LeaveEUOfficial,75,"Boris, your #LeaveEU T-shirt's in the post. Happy campaigning. https://t.co/fnLRriqto3",,Fri May 13 15:43:20 +0000 2016,63,731147824759492608,https://pbs.twimg.com/media/CiWPElTWsAAgSgg.jpg
NicolaSturgeon,49,@liammccluskey thank you!!,liammccluskey,Thu Jun 23 16:01:42 +0000 2016,6,746010349166530561,NA
LeaveEUOfficial,39,Darling going off about us not being in Schengen – but we still can't stop anyone with an EU passport from setting up shop here.,,Fri Apr 15 10:08:32 +0000 2016,40,720916711344619520,NA
